x-axis,1,3,MATH1
second,Volt,Volt,Volt
+767.2500E-06,+1.6432160629E+00,-2.3592964571E+00,+3.9965820312E+00
+767.5000E-06,+1.8065326440E+00,-2.0904522389E+00,+3.8940429688E+00
+767.7500E-06,+1.9296482205E+00,-2.0678391739E+00,+3.9916992188E+00
+768.0000E-06,+1.7713567649E+00,-2.0904522389E+00,+3.8598632812E+00
+768.2500E-06,+1.7336683231E+00,-2.1884421876E+00,+3.9184570312E+00
+768.5000E-06,+1.7261306348E+00,-2.0100502297E+00,+3.7280273438E+00
+768.7500E-06,+1.8266331463E+00,-1.8140703323E+00,+3.6352539062E+00
+769.0000E-06,+1.6080401838E+00,-1.8517587741E+00,+3.4594726562E+00
+769.2500E-06,+1.3844220958E+00,-1.9120602810E+00,+3.2910156250E+00
+769.5000E-06,+1.4849246072E+00,-1.6507537511E+00,+3.1347656250E+00
+769.7500E-06,+1.4120602863E+00,-1.4472361654E+00,+2.8564453124E+00
+770.0000E-06,+1.1281406914E+00,-1.5251256118E+00,+2.6464843750E+00
+770.2500E-06,+1.0904522496E+00,-1.2763818960E+00,+2.3605346680E+00
+770.5000E-06,+1.0075376776E+00,-1.0452261195E+00,+2.0486450195E+00
+770.7500E-06,+884.4221011E-03,-907.0351661E-03,+1.7895507812E+00
+771.0000E-06,+793.9698409E-03,-736.1808965E-03,+1.5258789062E+00
+771.2500E-06,+464.8241156E-03,-723.6180827E-03,+1.1840820312E+00
+771.5000E-06,+359.2964786E-03,-444.7236133E-03,+800.7812500E-03
+771.7500E-06,+183.4170834E-03,-321.6080368E-03,+500.4882812E-03
+772.0000E-06,-155.7788929E-03,-319.0954740E-03,+158.6914062E-03
+772.2500E-06,-178.3919579E-03,-80.4020092E-03,-104.9804688E-03
+772.5000E-06,-236.1809021E-03,+288.9447204E-03,-529.7851562E-03
+772.7500E-06,-459.7989901E-03,+286.4321577E-03,-754.3945312E-03
+773.0000E-06,-650.7537618E-03,+477.3869296E-03,-1.1352539062E+00
+773.2500E-06,-884.4221011E-03,+562.8140643E-03,-1.4550781250E+00
+773.5000E-06,-846.7336592E-03,+841.7085337E-03,-1.6894531250E+00
+773.7500E-06,-1.0452261195E+00,+942.2110452E-03,-1.9897460938E+00
+774.0000E-06,-1.4422110399E+00,+811.5577801E-03,-2.2583007812E+00
+774.2500E-06,-1.5376884256E+00,+954.7738593E-03,-2.5000000000E+00
+774.5000E-06,-1.4472361654E+00,+1.3718592817E+00,-2.8225708007E+00
+774.7500E-06,-1.5854271187E+00,+1.3894472213E+00,-2.9785156250E+00
+775.0000E-06,-1.8492462113E+00,+1.3693467190E+00,-3.2250976562E+00
+775.2500E-06,-1.8040200813E+00,+1.5904522442E+00,-3.3981323243E+00
+775.5000E-06,-1.8115577695E+00,+1.7638190767E+00,-3.5815429688E+00
+775.7500E-06,-1.8944723414E+00,+1.7814070162E+00,-3.6791992188E+00
+776.0000E-06,-2.1683416854E+00,+1.6130653093E+00,-3.7820434570E+00
+776.2500E-06,-2.1356783690E+00,+1.7864321417E+00,-3.9282226562E+00
+776.5000E-06,-2.0150753552E+00,+1.8869346532E+00,-3.9086914062E+00
+776.7500E-06,-2.1256281180E+00,+1.8140703323E+00,-3.9453125000E+00
+777.0000E-06,-2.1708542481E+00,+1.7688442022E+00,-3.9453125000E+00
+777.2500E-06,-2.0628140484E+00,+1.8592964623E+00,-3.9282226562E+00
+777.5000E-06,-1.9673366624E+00,+1.8869346532E+00,-3.8571166993E+00
+777.7500E-06,-1.9522612856E+00,+1.7236180721E+00,-3.6791992188E+00
+778.0000E-06,-2.0854271134E+00,+1.4522612909E+00,-3.5449218750E+00
+778.2500E-06,-1.7688442022E+00,+1.5452261141E+00,-3.3178710938E+00
+778.5000E-06,-1.6507537511E+00,+1.6080401838E+00,-3.2641601562E+00
+778.7500E-06,-1.7010050070E+00,+1.3090452121E+00,-3.0126953126E+00
+779.0000E-06,-1.6055276210E+00,+1.1256281286E+00,-2.7319335938E+00
+779.2500E-06,-1.2412060169E+00,+1.1884421983E+00,-2.4313354493E+00
+779.5000E-06,-1.1206030032E+00,+1.1306532541E+00,-2.2558593750E+00
+779.7500E-06,-1.1834170728E+00,+804.0200919E-03,-1.9897460938E+00
+780.0000E-06,-969.8492358E-03,+640.7035108E-03,-1.6137695312E+00
+780.2500E-06,-643.2160735E-03,+643.2160735E-03,-1.2890625000E+00
+780.5000E-06,-444.7236133E-03,+520.1004970E-03,-966.7968750E-03
+780.7500E-06,-459.7989901E-03,+160.8040184E-03,-622.5585938E-03
+781.0000E-06,-321.6080368E-03,-77.8894464E-03,-246.5820312E-03
+781.2500E-06,-17.5879396E-03,+0.0E+00,-19.2260743E-03
+781.5000E-06,+123.1155765E-03,-155.7788929E-03,+270.9960938E-03
+781.7500E-06,+148.2412043E-03,-517.5879342E-03,+659.4848632E-03
+782.0000E-06,+321.6080368E-03,-643.2160735E-03,+957.0312500E-03
+782.2500E-06,+562.8140643E-03,-723.6180827E-03,+1.2792968750E+00
+782.5000E-06,+718.5929572E-03,-809.0452174E-03,+1.5234375000E+00
+782.7500E-06,+781.4070269E-03,-1.0904522495E+00,+1.8676757812E+00
+783.0000E-06,+886.9346638E-03,-1.3618090307E+00,+2.2436523438E+00
+783.2500E-06,+1.0804019986E+00,-1.3492462167E+00,+2.4215698243E+00
+783.5000E-06,+1.2437185797E+00,-1.4472361654E+00,+2.6831054688E+00
+783.7500E-06,+1.2286432029E+00,-1.6884421930E+00,+2.9125976562E+00
+784.0000E-06,+1.4447236027E+00,-1.6909547557E+00,+3.1347656250E+00
+784.2500E-06,+1.6708542534E+00,-1.6884421930E+00,+3.3520507812E+00
+784.5000E-06,+1.6507537511E+00,-1.8869346532E+00,+3.5351562500E+00
+784.7500E-06,+1.6206029979E+00,-2.0201004807E+00,+3.6352539062E+00
+785.0000E-06,+1.7638190767E+00,-2.0100502297E+00,+3.7646484376E+00
+785.2500E-06,+1.8668341509E+00,-2.0100502297E+00,+3.8745117188E+00
+785.5000E-06,+1.8115577695E+00,-2.0477386716E+00,+3.8574218750E+00
+785.7500E-06,+1.7336683230E+00,-2.2286431923E+00,+3.9575195312E+00
+786.0000E-06,+1.8492462113E+00,-2.1708542481E+00,+4.0136718750E+00
+786.2500E-06,+1.9120602810E+00,-1.9020100300E+00,+3.8058471681E+00
+786.5000E-06,+1.7738693276E+00,-2.0477386716E+00,+3.8162231445E+00
+786.7500E-06,+1.6080401838E+00,-2.1130653039E+00,+3.7133789062E+00
+787.0000E-06,+1.7638190767E+00,-1.8542713368E+00,+3.6132812500E+00
+787.2500E-06,+1.7864321417E+00,-1.7336683230E+00,+3.5180664062E+00
+787.5000E-06,+1.5653266165E+00,-1.6884421930E+00,+3.2495117188E+00
+787.7500E-06,+1.3090452121E+00,-1.7462311371E+00,+3.0468750000E+00
+788.0000E-06,+1.1356783796E+00,-1.6783919420E+00,+2.8125000000E+00
+788.2500E-06,+1.3668341562E+00,-1.2060301378E+00,+2.5683593750E+00
+788.5000E-06,+1.0929648122E+00,-1.2010050124E+00,+2.2875976562E+00
+788.7500E-06,+861.8090361E-03,-1.1482411937E+00,+2.0019531250E+00
+789.0000E-06,+879.3969756E-03,-886.9346638E-03,+1.7648315430E+00
+789.2500E-06,+723.6180827E-03,-706.0301431E-03,+1.4260864257E+00
+789.5000E-06,+439.6984878E-03,-648.2411990E-03,+1.0864257812E+00
+789.7500E-06,+241.2060276E-03,-505.0251202E-03,+744.6289062E-03
+790.0000E-06,+165.8291438E-03,-394.4723578E-03,+554.1992188E-03
+790.2500E-06,+17.5879396E-03,-80.4020092E-03,+95.2148438E-03
+790.5000E-06,-236.1809021E-03,-37.6884419E-03,-202.6367188E-03
+790.7500E-06,-517.5879343E-03,+80.4020092E-03,-600.5859376E-03
+791.0000E-06,-329.1457249E-03,+477.3869297E-03,-812.9882812E-03
+791.2500E-06,-597.9899435E-03,+608.0401944E-03,-1.2109375000E+00
+791.5000E-06,-969.8492357E-03,+520.1004970E-03,-1.4965820312E+00
+791.7500E-06,-1.1708542587E+00,+678.3919527E-03,-1.8554687500E+00
+792.0000E-06,-1.2010050124E+00,+889.4472265E-03,-2.0996093750E+00
